abba|babba
saintandgreavsie|saintgreavsie
saintdragon|saintdragon
salmonpinkmax|salmonpinkmax
sanctuary|sanctuary
santasxmascaper|santasxmascaper
sarakon|sarakon
sarcophaser|sarcophaser
sascombatsimulator|sascombatsimulator
satan|satan
savage|savage
scapeghost|scapeghost
schwarzeauge,dasdieschicksalsklinge|schwarzeauge
scoobydooandscrappydoo|scoobydooscrappydoo
scorpion|scorpion
scorpio|scorpio
scrabble|scrabble
scramblespirits|scramblespirits
scrollingwalls|scrollingwalls
sdi|sdi
secondsamurai|secondsamurai
secondsout|secondsout
secretofmonkeyisland|secretofmonkeyisland
seekdestroy|seekdestroy
seelenturm,der|seelenturm
sensiblegolf|sensiblegolf
sensiblesoccerenglandvsgermany|sensiblesoccerbulldogblighty
sensiblesoccereuropeanchampions92|sensiblesoccer9293
sensiblesoccereuropeanchampions|sensiblesoccereuropeanchampions
sensiblesoccerinternationaleditionworldchampions|sensiblesoccerinternationaledition
sensiblesoccer|sensiblesoccer
sensibletrainspotting|sensibletrainspotting
sensibleworldofsoccer16|sensibleworldofsoccer1617
sensibleworldofsoccer9596europeanchampionshipedition|sensibleworldofsoccer9596europeanchampions
sensibleworldofsoccer9596|sensibleworldofsoccer9596
sensibleworldofsoccer9697|sensibleworldofsoccer9697
sensibleworldofsoccer9798|sensibleworldofsoccer9798
sensibleworldofsoccerworldcup98|sensibleworldofsoccerworldcup98
sensibleworldofsoccer|sensibleworldofsoccer
sensibleworldofsoccer|sensibleworldofsoccer11
sentinel|sentinel
settlers|settlers
sevencitiesofgold|sevencitiesofgold
sevengatesofjambala|sevengatesofjambala
sextimates|sextimates
seymourgoestohollywood|seymourgoestohollywood
shadowdancer|shadowdancer
shadowfighter|shadowfighter
shadowgate|shadowgate
shadowlands|shadowlands
shadowofthebeastiii|shadowofthebeast3
shadowofthebeastii|shadowofthebeast2
shadowofthebeast|shadowofthebeast
shadoworlds|shadoworlds
shadowsorcerer|shadowsorcerer
shadowwarriors|shadowwarriors
shanghai|shanghai
shaqfu|shaqfu
sharkeysmoll|sharkeysmoll
shefox|shefox
shermanm4|shermanm4
shinobi|shinobi
shockwave|shockwave
shortgrey|shortgrey
shufflepuckcafe|shufflepuckcafe
shuffle|shuffle
shuttlethespaceflightsimulator|shuttle
sidearms|sidearms
sideshow|sideshow
sidewinderii|sidewinder2
sidewinder|sidewinder
siedler,die|siedler
sierrasoccerworldchallengeedition|sierrasoccer
silentserviceii|silentservice2
silentservicethesubmarinesimulation|silentservice
silicondreams|silicondreams
silkworm|silkworm
sillyputty|sillyputty
simant|simant
simcity|simcity
simearththelivingplanet|simearth
simlife|simlife
simonthesorcerer|simonthesorcerer
simpsonsbartvsthespacemutants|bartvsthespacemutants
simpsonsbartvstheworld|bartvstheworld
simulcra|simulcra
sinbadandthethroneofthefalcon|sinbad
sinkorswim|sinkorswim
sirfred|sirfredthelegend
sixiang|sixiang
skaermtroldenhugo|skaermtroldenhugo
skateoftheart|skateoftheart
skeetshoot|skeetshoot
skeletonkrew|skeletonkrew
skidmarks|skidmarks
skidz|skidz
skiordie|skiordie
skrullthebarbarian|skrull
skullcrossbones|skullcrossbones
skweek|skweek
skychase|skychase
skyfoxiithecygnusconflict|skyfox2
skyfox|skyfox
skyhighstuntman|skyhighstuntman
slackskinflint|slackskinflint
slamtilt|slamtilt
slayer|slayer
sleepinggodslie|sleepinggodslie
sleepwalker|sleepwalker
sliders|sliders
slightlymagic|slightlymagic
slipstream|slipstream
slyspysecretagent|slyspysecretagent
smashtv|smashtv
snapperazzithealienwhoinvadesyourspace|snapperazzi
sneech|sneech
snoopythecoolcomputergame|snoopypeanuts
snowbros|snowbros
snowstrike|snowstrike
soccerkid|soccerkid
soccerpinball|soccerpinball
soccersuperstars|soccersuperstars
soldier2000|soldier2000
soldieroflight|soldieroflight
solidgold|solidgold
solomonskey2|solomonskey2
sonicboom|sonicboom
sonshushi|sonshushi
sootyandsweep|sootysweep
sootysfunwithnumbers|sootysfunwithnumbers
sophelie|sophelie
sorcererlord|sorcererlord
sorcerorsapprentice|sorcerersapprentice
sorceryplus|sorceryplus
sorefist|sorefist
spaceaceiiborfsrevenge|spaceace2
spaceace|spaceace
spaceassault|spaceassault
spaceball|spaceball
spacecrusadethevoyagebeyond|spacecrusadethevoyagebeyond
spacecrusade|spacecrusade
spacecutter|spacecutter
spacegun|spacegun
spaceharrier+spaceharrierreturntothefantasyzone|spaceharrierreturntofantasyzone
spaceharrierii|spaceharrier2
spaceharrier|spaceharrier
spacehulk|spacehulk
spacemax|spacemax
spacepilot89|spacepilot89
spaceport|spaceport
spacequest1rogerwilcointhesarienencounter|spacequestenhanced
spacequestchapter1thesarienencounter|spacequest
spacequestiiithepiratesofpestulon|spacequest3
spacequestiivohaulsrevenge|spacequest2
spacequestivrogerwilcoandthetimerippers|spacequest4
spaceracer|spaceracer
spaceranger|spaceranger
spacerogue|spacerogue
spacestation|spacestation
spacewrecked14billionlightyearsfromearth|spacewrecked
specialforces|specialforces
speedball2brutaldeluxe|speedball2
speedball|speedball
speedboatassassins|speedboatassassins
speedbuggy|speedbuggy
spellbounddizzy|spellbounddizzy
spellbound|spellbound
spellfirethesorcerer|spellfirethesorcerer
sperislegacy|sperislegacy
sphericalworlds|sphericalworlds
spherical|spherical
spikeintransylvania|spikeintransylvania
spindizzyworlds|spindizzyworlds
spiritofadventure|spiritofadventure
spiritofexcalibur|spiritofexcalibur
spittingimage|spittingimage
sporttimetablehockey|tablehockey
spotthecomputergame|spot
spot|spot
spyvsspyiiiarcticantics|spyvsspy3arcticantics
spyvsspyiitheislandcaper|spyvsspy2theislandcaper
spyvsspy|spyvsspy
spywholovedme|spywholovedme
sqrxz|sqrxz
stackup|stackup
starbirds|starbirds
starblade|starblade
starblaze|starblaze
starcommand|starcommand
starcontrol|starcontrol
starcrusader|starcrusader
stardust|stardust
starflight|starflight
starglider2|starglider2
starglider|starglider
stargoose|stargoose
starians|starians
starlord|starlord
starray|starray
startrash|startrash
startrek25thanniversary|startrek25thanniversary
starush|starush
starwarsreturnofthejedi|returnofthejedi
starwarstheempirestrikesback|empirestrikesback
starwars|starwars
steelempire|steelempire
steel|steel
stegtheslug|stegtheslug
steigar|steigar
stellar7|stellar7
stircrazyfeaturingbobo|stircrazyfeaturingbobo
stoneage|stoneage
stormball|stormball
stormlord|stormlord
stormmaster|stormmaster
stratego|stratego
streetfighteriitheworldwarrior|streetfighter2
streetfighter|streetfighter
streetgang|streetgang
streetracer|streetracer
streetrod2|streetrod2
streetrod|streetrod
streetsportsbasketball|streetsportsbasketball
striderii|strider2
strider|strider
strikeaces|strikeaces
strikefleet|strikefleet
striker|striker
strippokerasizzlinggameofchance|strippoker
strippokerii+datadisk#1beverleydawn|strippoker2+datadisk1
strippokerii+|strippoker2+
strippokerii|strippoker2
strippot|strippot
stryx|stryx
stunrunner|stunrunner
stuntcarracertnt|stuntcarracertnt
stuntcarracer|stuntcarracer
stunttrackracer|stunttrackracer
subbattlesimulator|subbattlesimulator
subbuteothecomputergame|subbuteo
subtradereturntoirata|subtrade
suburbancommando|suburbancommando
subwar2050|subwar2050
summercamp|summercamp
summerchallenge|summerchallenge
summergamesii|summergames2
summergamessummergamesii|summergamessummergames2
summergames|summergames
summerolympiad|summerolympiad
supaplex|supaplex
supercarsii|supercars2
supercars|supercars
supercauldron|supercauldron
superc|superc
superfrog|superfrog
supergrandprix|supergrandprix
supergridrunner|supergridrunner
superhangon|superhangon
superloopz|superloopz
supermanthemanofsteel|superman
supermethanebros|supermethanebros
supermonacogp|supermonacogp
superobliteration|superobliteration
superoswald|superoswald
superputty|superputty
superscramblesimulator|superscramblesimulator
superseymoursavestheplanet|superseymoursavestheplanet
superskidmarks|superskidmarks
superskiii|superski2v05011lha
superski|superski
superskweek|superskweek
superspaceinvaders|superspaceinvaders
superstardust|superstardust
superstreetfighteriithenewchallengers|superstreetfighter2
superstreetfighteriithenewchallengers|superstreetfighter2dx
superstreetfighteriiturbo|superstreetfighter2turbo
supertennischampsdatadisks|supertennischampsdatadisks
supertennischamps|supertennischamps
supertetris|supertetris
supertwintris|supertwintris
superwonderboywonderboyinmonsterland|wonderboyinmonsterland
supremacy|supremacy
surfninjas|surfninjas
suspiciouscargospecialedition|suspiciouscargo
swap|swap
switchbladeii|switchblade2
switchblade|switchblade
swiv|swiv
swooper|swooper
swordandtherose|swordtherose
swordofaragon|swordofaragon
swordofhonour|swordofhonour
swordofsodan|swordofsodan
swordsgalleons|swordsgalleons
swordsoftwilight|swordsoftwilight
sword|sword
syndicateamericanrevoltmissiondisk|syndicateamericanrevolt
syndicate|syndicate
taekwondo|taekwondo
takeemout|takeemout
tanglewood|tanglewood
tangram|tangram
targhan|targhan
tasstimesintonetown|tasstimesintonetown
tbird|tbird
teamsuzuki|teamsuzuki
teamyankee|teamyankee
tearawaythomas|tearawaythomas
technocop|technocop
technology2|technology2
tech|tech
tecnoball|tecnoball
teenagemutantheroturtlesthecoinop|teenagemutantheroturtlescoinop
teenagemutantheroturtles|teenagemutantheroturtles
teenagemutantninjaturtles|teenagemutantninjaturtles
teenagequeen|teenagequeen
teller|teller
templeofapshaitrilogy|templeofapshaitrilogy
templossagrados,los|lostemplossagrados
tennischamps|tennischamps
tenniscupii|tenniscup2
tenniscup|tenniscup
tenpinbowling|tenpinbowling
terminator2judgmentday|terminator2judgmentday
terminator2thearcadegame|terminator2arcade
terramex|terramex
terrorpods|terrorpods
terrysbigadventure|terrysbigadventure
testdriveiidatadisks|testdrive2datadisks
testdriveiitheduel|testdrive2
testdrive|testdrive
tetraquest|tetraquest
tetrispro|tetrispro
tetris|tetris
tetrixthenextgeneration|tetrix
theatreofdeath|theatreofdeath
theirfinesthourthebattleofbritain|theirfinesthour
theirfinesthourtheirfinestmissionsvolume1|theirfinesthourmissions
themeparkmystery|themeparkmystery
themepark|themepark
thexder|thexder
thirdcourier|thirdcourier
thomasthetankengine2|thomasthetankengine2
thomasthetankenginefriendspinball|thomasthetankenginepinball
thomasthetankengine|thomasthetankengine
threestooges|threestooges
thunderbirds|thunderbirds
thunderblade|thunderblade
thunderboy|thunderboy
thunderburner|thunderburner
thundercats|thundercats
thunderhawkah73m|thunderhawkah73m
thunderjaws|thunderjaws
thunderstrike|thunderstrike
tiebreak|tiebreak
tigerroad|tigerroad
timeandmagik|timeandmagik
timebandit|timebandit
timelock|timelock
timemachine|timemachine
timerace|timerace
timerunners01gatewaysintime|timerunners01
timerunners01gatewaysintime|timerunnersseries
timerunners02thespacestone|timerunners02
timerunners03thebigrun|timerunners03
timerunners04thecastleoffear|timerunners04
timerunners05theblackknight|timerunners05
timerunners06thebewitchedforest|timerunners06
timerunners07inthelandoftheinvaders|timerunners07
timerunners08theimpregnablefortress|timerunners08
timerunners09thetimedemon|timerunners09
timerunners10thetimesentry|timerunners10
timerunners11thesteelcity|timerunners11
timerunners12atargetforthecyborg|timerunners12
timerunners13cyberkiller|timerunners13
timerunners14toraxidwarstar|timerunners14
timerunners15atthespeedoflight|timerunners15
timerunners16thegalaxyemperor|timerunners16
timerunners17thelivinglabyrinth|timerunners17
timerunners18thekillershadow|timerunners18
timerunners19thenightmareprince|timerunners19
timerunners20themountainsofdeath|timerunners20
timerunners21theblackdragonscourse|timerunners21
timerunners22theeternaldamned|timerunners22
timerunners23thetimemonarch|timerunners23
timerunners24beyondalldimensions|timerunners24
timerunners25thelostplanetearth|timerunners25
timerunners26thetimewarrior|timerunners26
timerunners27rednight|timerunners27
timerunners28beyondtheend|timerunners28
timerunners29thelastrevelation|timerunners29
timerunners30thefinalduel|timerunners30
timescanner|timescanner
timesoflore|timesoflore
timesoldier|timesoldier
time|time
tintinonthemoon|tintinonthemoon
tintoyadventure|tintoyadventure
tinyskweeks|tinyskweeks
tinytroops|tinytroops
tipoff|tipoff
titanicblinky|titanicblinky
titan|titan
titusthefoxtomarrakechandback|titusthefox
toki|toki
tomandtheghost|tomandtheghost
tomlandrystrategyfootballdeluxeedition|tomlandrystrategyfootballdeluxe
tomlandrystrategyfootball|tomlandrystrategyfootball
tommygun|tommygun
tonyandfriendsinkelloggsland|tonyfriendsinkelloggsland
toobin|toobin
topbanana|topbanana
topcatstarringinbeverlyhillscats|topcat
topgear2|topgear2
topsecret|topsecret
tornadogroundattack|tornadogroundattack
tornado|tornado
torvakthewarrior|torvakthewarrior
totalcarnage|totalcarnage
totaleclipse|totaleclipse
totalfootball|totalfootball
totalrecall|totalrecall
tournamentgolf|tournamentgolf
towerofbabel|towerofbabel
towerofsouls|towerofsouls
towertoppler|towertoppler
townwithnoname|townwithnoname
toyottes|toyottes
tracer|tracer
tracker|tracker
traders|traders
trainedassassin|trainedassassin
transarctica|transarctica
transplant|transplant
transworld|transworld
trapsntreasures|trapsntreasures
treasureislanddizzy|treasureislanddizzy
treasuretrap|treasuretrap
trexwarrior22ndcenturygladiator|trexwarrior
triango|triango
trickyquikygamesdiesuchenachdenverschollenenseiten|trickyquikygames
triplex|triplex
trivialpursuitanewbeginning|trivialpursuitanewbeginning
trivialpursuitthecomputergamegenusedition|trivialpursuit
troddlers|troddlers
trog|trog
trolls|trolls
tubewarriors|tubewarriors
tubularworlds|tubularworlds
turbocupchallenge|turbocup
turbocup|turbocup
turbooutrun|turbooutrun
turborakettiii|turboraketti2
turbotrax|turbotrax
turbo|turbo
turnnburn|turnnburn
turrican3|turrican3
turricaniithefinalfight|turrican2
turrican|turrican
turtletabletennissimulation|tabletennissimulation
tusker|tusker
tvsportsbaseball|tvsportsbaseball
tvsportsbasketball|tvsportsbasketball
tvsportsboxing|tvsportsboxing
tvsportsfootball|tvsportsfootball
twintris|twintris
twinturbos|twinturbos
twinworld|twinworld
twylyte|twylyte
typhoonthompsoninsearchfortheseachild|typhoonthompson
typhoon|typhoon
ufoenemyunknown|ufoenemyunknown
ugh|ugh
ultimaiiiexodus|ultima3
ultimaivquestoftheavatar|ultima4
ultimatebodyblows|ultimatebodyblows
ultimategolf|ultimategolf
ultimatepinballquest|ultimatepinballquest
ultimateride|ultimateride
ultimatextremeracing|ultimatextremeracing
ultimavithefalseprophet|ultima6
ultimavwarriorsofdestiny|ultima5
umsiinationsatwar|ums2nationsatwar
umstheuniversalmilitarysimulator|universalmilitarysimulator
underpressure|underpressure
uninvited|uninvited
universalmonsters|universalmonsters
universalwarrior|universalwarrior
universe3|universe
universe3|universe3
universe|universe
unreal|unreal
unsensiblesoccer|unsensiblesoccer
unsquadron|unsquadron
untouchables|untouchables
upscope|upscope
uridium2|uridium2v080111mb1526lha
uridium2|uridium2v080112mb1526lha
ussjohnyoung|ussjohnyoung
utopiathecreationofanation|utopia
utopiathenewworlds|utopianewworlds
vader|vader
valhallaandthelordofinfinity|valhallalordofinfinity
valhallabeforethewar|valhallabeforethewar
vampiresempire|vampiresempire
vaxine|vaxine
vectorball|vectorball
vegasgambler|vegasgambler
vengeanceofexcalibur|vengeanceofexcalibur
venustheflytrap|venustheflytrap
vermeer|vermeer
verteidigerderkroneii|verteidigerderkrone2
viajealcentrodelatierra|viajealcentrodelatierra
victoryroadthepathwaytofear|victoryroad
videokid|videokid
vigilante|vigilante
vindicators|vindicators
violator|violator
virocop|virocop
virtualkartingii|virtualkarting2
virtualkarting|virtualkarting
virus|virus
vitallight|vitallight
vixen|vixen
vizthegame|viz
volfied|volfied
voodoonightmare|voodoonightmare
voyager|voyager
voyagesofdiscovery|voyagesofdiscovery
voyageursdutemps,leslamenace|voyageursdutemps
vroomdatadisk|vroomdatadisk
vroommultiplayer|vroommultiplayer
vroom|vroom
vyper|vyper
vyrus|vyrus
wackydarts|wackydarts
wackyraces|wackyraces
wacuśthedetective|wacusthedetective
walker|walker
wall|wall
wanderer3d|wanderer3d
wanted|wanted
warhead|warhead
warinmiddleearth|warinmiddleearth
warinthegulf|warinthegulf
warlocksquest|warlocksquest
warlocktheavenger|warlocktheavenger
warlords|warlords
warmachine|warmachine
warmup|warmup
warp|warp
warzone|warzone
watchtower|watchtower
waterloo|waterloo
waxworks|waxworks
waynegretzkyhockey2|waynegretzkyhockey2
waynegretzkyhockey|waynegretzkyhockey
wayofthelittledragon|wayofthelittledragon
webofterror|webofterror
weentheprophecy|weentheprophecy
weirddreams|weirddreams
welltris|welltris
wembleyinternationalsoccer|wembleyinternationalsoccer
wembleyrugbyleague|wembleyrugbyleague
wernerflaschbier|flaschbier
westerngames|westerngames
westphaser|westphaser
wheelsonfire|wheelsonfire
whereineuropeiscarmensandiego|whereineuropeiscarmensandiego
whereintheusaiscarmensandiego|whereintheusaiscarmensandiego
whereintheworldiscarmensandiego|whereintheworldiscarmensandiego
wheretimestoodstill|wheretimestoodstill
whirligig|whirligig
whitedeath|whitedeath
whizz|whizz
whoframedrogerrabbit|whoframedrogerrabbit
wibbleworldgiddywibblemania|wibbleworldgiddy
wicked|wicked
wildcupsoccer|wildcupsoccer
wildstreets|wildstreets
wildwestworld|wildwestworld
wildwheels|wildwheels
willharveyszanygolf|zanygolf
windowwizard|windowwizard
windsurfwilly|windsurfwilly
windwalker|windwalker
wingcommander|wingcommander
wingsofdeath|wingsofdeath
wingsoffury|wingsoffury
wings|wings
winniethepoohinthehundredacrewood|winniethepooh
winningpost|winningpost
wintercamp|wintercamp
winterchallengeworldclasscompetition|winterchallenge
wintergames|wintergames
winterolympiad88|winterolympiad88
winterolympics|winterolympics
wintersupersports92|wintersupersports92
winzer|winzer
wisielec|wisielec
wizardrybaneofthecosmicforge|wizardy6baneofthecosmicforge
wizball|wizball
wizkid|wizkid
wiznliz|wiznliz
wolfchild|wolfchild
wolfpack|wolfpack
wonderdog|wonderdog
wonderland|wonderland
woodysworld|woodysworld
worldchampionshipboxingmanager|worldchampionshipboxingmanager
worldchampionshipsoccer|worldchampionshipsoccer
worldclassleaderboarddatadisks|worldclassleaderboarddatadisks
worldclassleaderboard|worldclassleaderboard
worldclassrugby95|worldclassrugby95
worldclassrugbyfivenationsedition|worldclassrugby5nationsedition
worldclassrugby|worldclassrugby
worldclasssoccer|worldclasssoccer
worldcricket|worldcircuit
worldcricket|worldcricket
worldcup90|worldcup90
worlddarts|worlddarts
worldgames|worldgames
worldrugby|worldrugby
worldsoccer|worldsoccer
worldsoflegendsonoftheempire|worldsoflegend
worldtourgolf|worldtourgolf
worldtrophysoccer|worldtrophysoccer
wormsigns|wormsigns
wormsthedirectorscut|wormsdirectorscut
worms|worms
wpotrzasku|wpotrzasku
wrathofthedemon|wrathofthedemon
wreckers|wreckers
wwfeuropeanrampagetour|wwfeuropeanrampagetour
wwfwrestlemania|wwfwrestlemania
xenex|xenex
xenomorph|xenomorph
xenon2megablast|xenon2
xenon|xenon
xenophobe|xenophobe
xiphos|xiphos
xit|xit
xmaslemmings|lemmingsxmasdemo1991
xmaslemmings|lemmingsxmasdemo1992
xout|xout
xp8|xp8
xr35fightermission|xr35
xtremeracingdatadisks|xtremeracingdatadisks
xtremeracing|xtremeracing
xybots|xybots
yogibearfriendsinthegreedmonster|yogibearfriends
yogisbigcleanup|yogisbigcleanup
yogisgreatescape|yogisgreatescape
yojoe|yojoe
yolanda|yolanda
zakmckrackenandthealienmindbenders|zakmckracken
zarathrusta|zarathrusta
zaxxon|zaxxon
zażelaznąbramą|zazelaznabrama
zeewolf2wildjustice|zeewolf2
zeewolf|zeewolf
zerogravity|zerogravity
ziriax|ziriax
zombieapocalypseii|zombieapocalypse2
zombieapocalypse|zombieapocalypse
zombi|zombi
zonewarrior|zonewarrior
zool2|zool2
zoolninjaofthenthdimension|zool
zoom|zoom
zout|zout
zyconix|zyconix
zynaps|zynaps
